accuracy,timestamp,type,value
3,398341821108224000,HeartBeat,1
3,398342503112599000,HeartBeat,1
3,398343958121922000,HeartRate,83
3,398343184116974000,HeartBeat,1
3,398344958128328000,HeartRate,84
3,398343860121297000,HeartBeat,1
3,398344547125672000,HeartBeat,1
3,398345958134682000,HeartRate,84
3,398345243130151000,HeartBeat,1
3,398346958141089000,HeartRate,84
3,398345951134682000,HeartBeat,1
3,398347958147495000,HeartRate,84
3,398346668139266000,HeartBeat,1
3,398347382143797000,HeartBeat,1
3,398348958153901000,HeartRate,84
3,398348096148380000,HeartBeat,1
3,398349958160307000,HeartRate,84
3,398348800152911000,HeartBeat,1
3,398349498157339000,HeartBeat,1
3,398350958166714000,HeartRate,84
3,398350180161714000,HeartBeat,1
3,398351958173120000,HeartRate,85
3,398350874166193000,HeartBeat,1
3,398352958179526000,HeartRate,85
3,398351584170724000,HeartBeat,1
3,398352303175307000,HeartBeat,1
3,398353958185932000,HeartRate,84
3,398353032179995000,HeartBeat,1
3,398354958192286000,HeartRate,84
3,398353760184630000,HeartBeat,1
3,398354489189318000,HeartBeat,1
3,398355958198693000,HeartRate,84
3,398355219193953000,HeartBeat,1
3,398356958205099000,HeartRate,83
3,398355928198536000,HeartBeat,1
3,398357958211505000,HeartRate,83
3,398356630203016000,HeartBeat,1
3,398357322207443000,HeartBeat,1
3,398358958217911000,HeartRate,84
3,398357997211766000,HeartBeat,1
3,398359958224318000,HeartRate,84
3,398358682216141000,HeartBeat,1
3,398359379220620000,HeartBeat,1
3,398360958230724000,HeartRate,84
3,398360072225047000,HeartBeat,1
3,398361958237130000,HeartRate,85
3,398360780229578000,HeartBeat,1
3,398361505234214000,HeartBeat,1
3,398362958243484000,HeartRate,84
3,398362210238745000,HeartBeat,1
3,398363958249891000,HeartRate,84
3,398362927243328000,HeartBeat,1
3,398364958256297000,HeartRate,84
3,398363628247807000,HeartBeat,1
3,398364324252234000,HeartBeat,1
3,398365958262703000,HeartRate,84
3,398365032256766000,HeartBeat,1
3,398366958269109000,HeartRate,84
3,398365744261349000,HeartBeat,1
3,398366440265776000,HeartBeat,1
3,398367958275516000,HeartRate,84
3,398367151270359000,HeartBeat,1
3,398368958281922000,HeartRate,84
3,398367847274786000,HeartBeat,1
3,398368529279161000,HeartBeat,1
3,398369958288328000,HeartRate,85
3,398369217283589000,HeartBeat,1
3,398370958294734000,HeartRate,85
3,398369895287911000,HeartBeat,1
3,398371958301089000,HeartRate,85
3,398370587292339000,HeartBeat,1
3,398371288296818000,HeartBeat,1
3,398372958307495000,HeartRate,85
3,398372003301401000,HeartBeat,1
3,398373958313901000,HeartRate,85
3,398372718305984000,HeartBeat,1
3,398373436310568000,HeartBeat,1
3,398374958320307000,HeartRate,84
3,398374144315099000,HeartBeat,1
3,398375958326714000,HeartRate,84
3,398374842319578000,HeartBeat,1
3,398375545324057000,HeartBeat,1
3,398376958333149000,HeartRate,84
3,398376233329295000,HeartBeat,1
3,398377958340337000,HeartRate,85
3,398376930333722000,HeartBeat,1
3,398378958346743000,HeartRate,85
3,398377638338254000,HeartBeat,1
3,398378347342785000,HeartBeat,1
3,398379958353097000,HeartRate,85
3,398379063347368000,HeartBeat,1
3,398380958359504000,HeartRate,84
3,398379771351900000,HeartBeat,1
3,398380475356431000,HeartBeat,1
3,398381958365910000,HeartRate,84
3,398381170360858000,HeartBeat,1
3,398382958372316000,HeartRate,85
3,398381859365285000,HeartBeat,1
3,398382547369712000,HeartBeat,1
3,398383958378722000,HeartRate,85
2,398384958385129000,HeartRate,85
2,398385958391535000,HeartRate,85
2,398386958397941000,HeartRate,85
2,398387958404295000,HeartRate,85
2,398388958410702000,HeartRate,86
2,398389958417108000,HeartRate,87
2,398390958423514000,HeartRate,86
2,398391958429920000,HeartRate,87
2,398392958436327000,HeartRate,87
3,398391306425754000,HeartBeat,1
3,398391969429972000,HeartBeat,1
3,398393958442733000,HeartRate,87
3,398392632434243000,HeartBeat,1
3,398393317438618000,HeartBeat,1
3,398394958449139000,HeartRate,87
3,398394023443150000,HeartBeat,1
3,398395958455545000,HeartRate,87
3,398396958461900000,HeartRate,87
3,398397958468306000,HeartRate,87
3,398398958474712000,HeartRate,88
3,398399958481118000,HeartRate,88
3,398400958487525000,HeartRate,87
3,398401958493931000,HeartRate,86
3,398402958500337000,HeartRate,85
3,398403958506743000,HeartRate,85
3,398404958513097000,HeartRate,84
3,398403148501535000,HeartBeat,1
3,398403883506222000,HeartBeat,1
2,398405958519504000,HeartRate,83
3,398404661511222000,HeartBeat,1
3,398405441516222000,HeartBeat,1
2,398406958525910000,HeartRate,82
3,398406232521275000,HeartBeat,1
2,398407958532316000,HeartRate,82
3,398406677524139000,HeartBeat,1
2,398408958538722000,HeartRate,82
2,398409958545129000,HeartRate,82
2,398410958551535000,HeartRate,82
2,398411958557941000,HeartRate,83
2,398412958564347000,HeartRate,84
2,398413958570702000,HeartRate,84
2,398414958577108000,HeartRate,86
2,398415958583514000,HeartRate,85
2,398416958589920000,HeartRate,85
3,398415487580493000,HeartBeat,1
3,398416186584972000,HeartBeat,1
2,398417958596327000,HeartRate,85
3,398416913589660000,HeartBeat,1
2,398418958602733000,HeartRate,85
3,398417623594191000,HeartBeat,1
3,398418323598670000,HeartBeat,1
3,398419958609139000,HeartRate,84
3,398419046603306000,HeartBeat,1
3,398420958615545000,HeartRate,84
3,398419762607889000,HeartBeat,1
3,398420363611691000,HeartBeat,1
3,398421958621900000,HeartRate,84
3,398420879615025000,HeartBeat,1
3,398421460618722000,HeartBeat,1
3,398422958628306000,HeartRate,83
3,398421923621691000,HeartBeat,1
3,398423958634712000,HeartRate,84
3,398422664626431000,HeartBeat,1
3,398423367630962000,HeartBeat,1
3,398424958641118000,HeartRate,83
3,398424061635389000,HeartBeat,1
3,398425958647525000,HeartRate,84
3,398424776639972000,HeartBeat,1
3,398425454644295000,HeartBeat,1
3,398426958653931000,HeartRate,84
3,398426190648983000,HeartBeat,1
3,398427958660337000,HeartRate,84
3,398428958666743000,HeartRate,83
3,398429958673097000,HeartRate,83
3,398430958679504000,HeartRate,82
3,398431958685910000,HeartRate,83
3,398432958692316000,HeartRate,83
3,398431146680702000,HeartBeat,1
3,398431827685077000,HeartBeat,1
3,398433958698722000,HeartRate,83
3,398434958705129000,HeartRate,83
3,398435958711535000,HeartRate,82
3,398436958717605000,HeartRate,82
2,398437958724011000,HeartRate,81
2,398438958730366000,HeartRate,82
2,398439958736772000,HeartRate,83
2,398440958743178000,HeartRate,82
2,398441958749584000,HeartRate,83
2,398442958755991000,HeartRate,82
